ASI and Equivalent Total,"85,554"
ASP/DSP/ACP Total,"8,252"
Belw HC and above Constables Total,"69,780"
Constables - Total,"1,026,312"
Constables-Women - Total,"52,104"
DG.ADG- Men - Total,378
DG/ADG- Women Total,9
DIG- MenTotal,467
DIG-Women - Total,29
HC Men- Total,"268,740"
HC- Women - Total,"6,849"
IG/SPL IG Men - Total,562
IG.SPL IG Women - Total,19
Inspectors&Equivalent-Men- Total,"23,585"
Inspectors Women - Total,736
SI and Equivalent Men - Total,"79,017"
SI and Equivaent-Women- Total,"3,743"
SSP/SP/Addl.SP/Commandant Men - Total,"3,049"
SSP/SP/Addl.SP/Commandant Women- Total,136
